Inter. 	 Data e Hora   			Comp.onda(nm)		Sinal 	Unid.	Fase (º)	Freq. (Hz)	
102 	 04/02/2015 - 13:54:43 	 	7049,970000 	0,001064 	 V 	 94,630000 	 98,975000 	
103 	 04/02/2015 - 13:54:45 	 	7099,989000 	0,001022 	 V 	 94,260000 	 98,936000 	
104 	 04/02/2015 - 13:54:47 	 	7149,982000 	0,000803 	 V 	 95,700000 	 99,088000 	
105 	 04/02/2015 - 13:54:49 	 	7199,981000 	0,001002 	 V 	 94,890000 	 99,103000 	
106 	 04/02/2015 - 13:54:51 	 	7249,988000 	0,000892 	 V 	 94,450000 	 99,004000 	
107 	 04/02/2015 - 13:54:53 	 	7299,965000 	0,001020 	 V 	 95,130000 	 99,014000 	
108 	 04/02/2015 - 13:54:55 	 	7349,985000 	0,001073 	 V 	 94,490000 	 99,024000 	
109 	 04/02/2015 - 13:54:57 	 	7399,975000 	0,001038 	 V 	 95,200000 	 99,039000 	
110 	 04/02/2015 - 13:54:59 	 	7449,971000 	0,000749 	 V 	 94,160000 	 98,921000 	
111 	 04/02/2015 - 13:55:01 	 	7499,971000 	0,001012 	 V 	 94,930000 	 99,024000 	
112 	 04/02/2015 - 13:55:03 	 	7549,979000 	0,000903 	 V 	 95,020000 	 99,083000 	
113 	 04/02/2015 - 13:55:05 	 	7599,990000 	0,000862 	 V 	 95,090000 	 98,907000 	
114 	 04/02/2015 - 13:55:07 	 	7649,972000 	0,000901 	 V 	 94,590000 	 98,921000 	
115 	 04/02/2015 - 13:55:09 	 	7699,992000 	0,000871 	 V 	 94,950000 	 99,004000 	
116 	 04/02/2015 - 13:55:11 	 	7749,981000 	0,000828 	 V 	 94,880000 	 98,980000 	
117 	 04/02/2015 - 13:55:13 	 	7799,974000 	0,000829 	 V 	 94,800000 	 98,970000 	
118 	 04/02/2015 - 13:55:15 	 	7849,972000 	0,000764 	 V 	 94,890000 	 99,004000 	
119 	 04/02/2015 - 13:55:17 	 	7899,973000 	0,000745 	 V 	 95,220000 	 98,902000 	
120 	 04/02/2015 - 13:55:19 	 	7949,978000 	0,000727 	 V 	 94,900000 	 99,004000 	
121 	 04/02/2015 - 13:55:22 	 	7999,985000 	0,000679 	 V 	 95,110000 	 98,946000 	
122 	 04/02/2015 - 13:55:24 	 	8049,994000 	0,000657 	 V 	 95,060000 	 98,946000 	
123 	 04/02/2015 - 13:55:26 	 	8099,972000 	0,000644 	 V 	 94,650000 	 98,897000 	
124 	 04/02/2015 - 13:55:28 	 	8149,986000 	0,000625 	 V 	 94,680000 	 99,083000 	
125 	 04/02/2015 - 13:55:30 	 	8199,966000 	0,000607 	 V 	 95,130000 	 98,882000 	
126 	 04/02/2015 - 13:55:32 	 	8249,984000 	0,000594 	 V 	 94,610000 	 99,000000 	
127 	 04/02/2015 - 13:55:34 	 	8299,968000 	0,000578 	 V 	 95,150000 	 99,088000 	
128 	 04/02/2015 - 13:55:36 	 	8349,987000 	0,000570 	 V 	 95,100000 	 98,995000 	
129 	 04/02/2015 - 13:55:38 	 	8399,974000 	0,000548 	 V 	 94,620000 	 98,956000 	
130 	 04/02/2015 - 13:55:40 	 	8449,993000 	0,000514 	 V 	 94,210000 	 99,103000 	
