Inter.	DataeHora	Comp.onda(nm)	Sinal	Unid.	Fase(º)	Freq.(Hz)
109	04/02/2015-11:08:37	7399.975000	0.004680	V	100.010000	98.595000
110	04/02/2015-11:08:39	7449.971000	0.004500	V	99.890000	98.697000
111	04/02/2015-11:08:41	7499.971000	0.004800	V	100.120000	98.687000
112	04/02/2015-11:08:43	7549.979000	0.004770	V	100.000000	98.921000
113	04/02/2015-11:08:45	7599.990000	0.004560	V	100.040000	98.892000
114	04/02/2015-11:08:48	7649.972000	0.004560	V	100.150000	98.843000
115	04/02/2015-11:08:50	7699.992000	0.004310	V	100.060000	98.907000
116	04/02/2015-11:08:52	7749.981000	0.004200	V	100.060000	98.946000
117	04/02/2015-11:08:54	7799.974000	0.004130	V	100.100000	98.921000
118	04/02/2015-11:08:56	7849.972000	0.004290	V	100.300000	98.882000
119	04/02/2015-11:08:58	7899.973000	0.004530	V	100.170000	98.858000
120	04/02/2015-11:09:00	7949.978000	0.004260	V	100.120000	98.648000
121	04/02/2015-11:09:02	7999.985000	0.003850	V	100.310000	98.692000
122	04/02/2015-11:09:04	8049.994000	0.004100	V	100.240000	98.770000
123	04/02/2015-11:09:06	8099.972000	0.004110	V	100.350000	98.726000
124	04/02/2015-11:09:08	8149.986000	0.003790	V	100.310000	98.716000
125	04/02/2015-11:09:10	8199.966000	0.003740	V	100.390000	98.823000
126	04/02/2015-11:09:12	8249.984000	0.003670	V	100.240000	98.838000
127	04/02/2015-11:09:14	8299.968000	0.003620	V	100.380000	98.672000
128	04/02/2015-11:09:16	8349.987000	0.003490	V	100.520000	98.819000
129	04/02/2015-11:09:18	8399.974000	0.002370	V	100.290000	98.653000
130	04/02/2015-11:09:20	8449.993000	0.002030	V	100.450000	98.716000
131	04/02/2015-11:09:22	8499.981000	0.002080	V	100.090000	98.819000
132	04/02/2015-11:09:25	8549.966000	0.001950	V	100.330000	98.965000
133	04/02/2015-11:09:27	8599.988000	0.002010	V	100.420000	98.731000
134	04/02/2015-11:09:29	8649.974000	0.002260	V	100.290000	98.770000
135	04/02/2015-11:09:31	8699.994000	0.002490	V	100.390000	98.711000
